# Beam-counter reference, generated by tools/copperline-beamtable.sh
# source   = copperline 0.20.0 (e868a66), --model A500 --factory
# generated= 2026-09-15
#
# Sampling resolution: run_until stops at INSTRUCTION resolution, not colour
# clock resolution, so positions come at roughly every 5 colour clocks and a
# lag narrower than that is BOUNDED by this table, not pinned by it. Reading a
# register at cck resolution needs a guest polling loop (what the vAmigaTS VPOS
# suite and timing-test rows 16/17/21 do), not the debugger.
#
# Columns are one instant each, read with the machine stopped:
#   vpos,hpos  Copperline's internal beam position (beam.get). hpos is
#              in COLOUR CLOCKS. Ours is [8:0] at 140ns with hpos[0] as
#              the cck phase, so ours maps as hpos[8:1].
#   vposr      custom.read 0x004 -- a debugger peek, not a CPU bus read,
#              so it carries no CPU-read cost. That is deliberate: it
#              makes it comparable to our combinational data_out.
#   vhposr     custom.read 0x006
#   dhpos      vhposr[7:0] - hpos, signed. Constant across the table on
#              the side that generated it; our RTL reports hpos[8:1]-1
#              (the 06f30af decrement). The ABSOLUTE value is not
#              comparable between implementations -- neither internal
#              counter's zero point is a shared reference -- so the
#              bench checks that it is CONSTANT, not what it equals.
#   vok        vhposr[15:8] == vpos & 0xFF     (1 = readback agrees)
#   pok        vposr[0]      == vpos[8]        (1 = readback agrees)
#
# vok/pok are the origin-INDEPENDENT columns, and the reason this table
# is worth having. They ask only whether the readback describes the beam
# position it was taken at, which both implementations can be asked
# without agreeing on anything first. A zero marks a readback lag --
# exactly what T7 is chasing.
#
vpos	hpos	vposr	vhposr	dhpos	vok	pok
152	3	0xA000	0x9806	3	1	1
156	4	0xA000	0x9C07	3	1	1
160	2	0xA000	0xA005	3	1	1
164	2	0xA000	0xA405	3	1	1
168	4	0xA000	0xA807	3	1	1
172	2	0xA000	0xAC05	3	1	1
176	3	0xA000	0xB006	3	1	1
180	0	0xA000	0xB403	3	1	1
184	5	0xA000	0xB808	3	1	1
188	6	0xA000	0xBC09	3	1	1
192	1	0xA000	0xC004	3	1	1
196	1	0xA000	0xC404	3	1	1
200	2	0xA000	0xC805	3	1	1
204	2	0xA000	0xCC05	3	1	1
208	2	0xA000	0xD005	3	1	1
212	1	0xA000	0xD404	3	1	1
216	1	0xA000	0xD804	3	1	1
220	0	0xA000	0xDC03	3	1	1
224	2	0xA000	0xE005	3	1	1
228	2	0xA000	0xE405	3	1	1
232	4	0xA000	0xE807	3	1	1
236	0	0xA000	0xEC03	3	1	1
240	1	0xA000	0xF004	3	1	1
244	2	0xA000	0xF405	3	1	1
248	0	0xA000	0xF803	3	1	1
252	3	0xA000	0xFC06	3	1	1
256	4	0xA001	0x0007	3	1	1
260	2	0xA001	0x0405	3	1	1
264	3	0xA001	0x0806	3	1	1
268	5	0xA001	0x0C08	3	1	1
272	2	0xA001	0x1005	3	1	1
276	3	0xA001	0x1406	3	1	1
280	4	0xA001	0x1807	3	1	1
284	6	0xA001	0x1C09	3	1	1
288	3	0xA001	0x2006	3	1	1
292	5	0xA001	0x2408	3	1	1
296	6	0xA001	0x2809	3	1	1
300	1	0xA001	0x2C04	3	1	1
304	4	0xA001	0x3007	3	1	1
308	2	0xA001	0x3405	3	1	1
312	3	0xA001	0x3806	3	1	1
311	1	0xA001	0x3704	3	1	1
311	5	0xA001	0x3708	3	1	1
311	9	0xA001	0x370C	3	1	1
311	13	0xA001	0x3710	3	1	1
311	18	0xA001	0x3715	3	1	1
311	25	0xA001	0x371C	3	1	1
311	29	0xA001	0x3720	3	1	1
311	33	0xA001	0x3724	3	1	1
311	37	0xA001	0x3728	3	1	1
311	42	0xA001	0x372D	3	1	1
311	49	0xA001	0x3734	3	1	1
311	53	0xA001	0x3738	3	1	1
311	57	0xA001	0x373C	3	1	1
311	61	0xA001	0x3740	3	1	1
311	66	0xA001	0x3745	3	1	1
311	73	0xA001	0x374C	3	1	1
311	78	0xA001	0x3751	3	1	1
311	82	0xA001	0x3755	3	1	1
311	87	0xA001	0x375A	3	1	1
311	94	0xA001	0x3761	3	1	1
311	99	0xA001	0x3766	3	1	1
311	103	0xA001	0x376A	3	1	1
311	108	0xA001	0x376F	3	1	1
311	115	0xA001	0x3776	3	1	1
311	120	0xA001	0x377B	3	1	1
311	124	0xA001	0x377F	3	1	1
311	129	0xA001	0x3784	3	1	1
311	136	0xA001	0x378B	3	1	1
311	141	0xA001	0x3790	3	1	1
311	145	0xA001	0x3794	3	1	1
311	150	0xA001	0x3799	3	1	1
311	157	0xA001	0x37A0	3	1	1
311	162	0xA001	0x37A5	3	1	1
311	166	0xA001	0x37A9	3	1	1
311	171	0xA001	0x37AE	3	1	1
311	178	0xA001	0x37B5	3	1	1
311	183	0xA001	0x37BA	3	1	1
311	187	0xA001	0x37BE	3	1	1
311	192	0xA001	0x37C3	3	1	1
311	199	0xA001	0x37CA	3	1	1
311	203	0xA001	0x37CE	3	1	1
311	207	0xA001	0x37D2	3	1	1
311	211	0xA001	0x37D6	3	1	1
311	216	0xA001	0x37DB	3	1	1
311	223	0xA001	0x37E2	3	1	1
312	1	0xA001	0x3804	3	1	1
312	5	0xA001	0x3808	3	1	1
312	10	0xA001	0x380D	3	1	1
312	17	0xA001	0x3814	3	1	1
312	22	0xA001	0x3819	3	1	1
312	26	0xA001	0x381D	3	1	1
312	31	0xA001	0x3822	3	1	1
312	38	0xA001	0x3829	3	1	1
312	43	0xA001	0x382E	3	1	1
312	47	0xA001	0x3832	3	1	1
312	52	0xA001	0x3837	3	1	1
312	59	0xA001	0x383E	3	1	1
312	64	0xA001	0x3843	3	1	1
312	68	0xA001	0x3847	3	1	1
312	73	0xA001	0x384C	3	1	1
312	80	0xA001	0x3853	3	1	1
312	85	0xA001	0x3858	3	1	1
312	89	0xA001	0x385C	3	1	1
312	94	0xA001	0x3861	3	1	1
312	101	0xA001	0x3868	3	1	1
312	105	0xA001	0x386C	3	1	1
312	109	0xA001	0x3870	3	1	1
312	113	0xA001	0x3874	3	1	1
312	118	0xA001	0x3879	3	1	1
312	125	0xA001	0x3880	3	1	1
312	130	0xA001	0x3885	3	1	1
312	134	0xA001	0x3889	3	1	1
312	139	0xA001	0x388E	3	1	1
312	146	0xA001	0x3895	3	1	1
312	150	0xA001	0x3899	3	1	1
312	154	0xA001	0x389D	3	1	1
312	158	0xA001	0x38A1	3	1	1
312	163	0xA001	0x38A6	3	1	1
312	170	0xA001	0x38AD	3	1	1
312	175	0xA001	0x38B2	3	1	1
312	179	0xA001	0x38B6	3	1	1
312	184	0xA001	0x38BB	3	1	1
312	191	0xA001	0x38C2	3	1	1
312	195	0xA001	0x38C6	3	1	1
312	199	0xA001	0x38CA	3	1	1
312	203	0xA001	0x38CE	3	1	1
312	208	0xA001	0x38D3	3	1	1
312	215	0xA001	0x38DA	3	1	1
312	219	0xA001	0x38DE	3	1	1
312	223	0xA001	0x38E2	3	1	1
0	5	0xA000	0x0008	3	1	1
0	12	0xA000	0x000F	3	1	1
0	17	0xA000	0x0014	3	1	1
0	21	0xA000	0x0018	3	1	1
0	26	0xA000	0x001D	3	1	1
0	33	0xA000	0x0024	3	1	1
